shop,platform,categorie,sous_categorie,marque,produit,prix,ancien_prix,remise_pct,stock,en_promo,rating,url_produit,stock_bin,promo_bin,log_prix,segment_prix,score_popularite,top_k,shop_id,categorie_id,platform_id,cluster,cluster_nom
Kiabi,Shopify,Femme,Femme,,Pull D'Allaitement En Maille Douce,275.0,0.0,,En stock,Non,4.2,,1,0,5.62040086571715,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Sac Forme Seau En Tissu,220.0,0.0,,En stock,Non,4.2,,1,0,5.3981627015177525,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Sac Cabas En Toile,295.0,0.0,,En stock,Non,4.2,,1,0,5.69035945432406,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Pull Effet 2-En-1 Pull + Chemise,275.0,0.0,,En stock,Non,4.2,,1,0,5.62040086571715,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Pantalon En Lin Avec 2 Poches,275.0,0.0,,En stock,Non,4.2,,1,0,5.62040086571715,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Trench Court En Coton,415.0,0.0,,En stock,Non,4.2,,1,0,6.030685260261263,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Pyjama Long En Maille Douce Stretch - 2 Pièces,275.0,0.0,,En stock,Non,4.2,,1,0,5.62040086571715,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Pantalon Flare Maille Ultra-Stretch,165.0,0.0,,En stock,Non,4.2,,1,0,5.111987788356544,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Produit REF FRV99,220.0,0.0,,En stock,Non,4.2,,1,0,5.3981627015177525,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Ceinture Tressée Avec Boucle En Bois,145.0,0.0,,En stock,Non,4.2,,1,0,4.983606621708336,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Pull Rayé Col Rond En Matière Douce,235.0,0.0,,En stock,Non,4.2,,1,0,5.4638318050256105,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Robe Milano À La Coupe Évasée À Manches Courtes,135.0,0.0,,En stock,Non,4.2,,1,0,4.912654885736052,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Pantalon Confort En Maille Côtelée,275.0,0.0,,En stock,Non,4.2,,1,0,5.62040086571715,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Fermeture Par Bijou Doré Au Col,205.0,0.0,,En stock,Non,4.2,,1,0,5.327876168789581,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Sweat Crop Top Effet Boule,205.0,0.0,,En stock,Non,4.2,,1,0,5.327876168789581,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Pantalon Denim Wide Leg En Coton,305.0,0.0,,En stock,Non,4.2,,1,0,5.723585101952381,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Pyjama Long En Popeline - 2 Pièces,345.0,0.0,,En stock,Non,4.2,,1,0,5.846438775057725,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Sweat À Capuche Crop Top,165.0,0.0,,En stock,Non,4.2,,1,0,5.111987788356544,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Jean Wide Leg Avec Bords À Cru,345.0,0.0,,En stock,Non,4.2,,1,0,5.846438775057725,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Pantalon Denim Barrel Fit Uni Avec Nœud,305.0,0.0,,En stock,Non,4.2,,1,0,5.723585101952381,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Pantalon Jogging Large Maille Douce,205.0,0.0,,En stock,Non,4.2,,1,0,5.327876168789581,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,T-Shirt En Maille Pointelle,120.0,0.0,,En stock,Non,4.2,,1,0,4.795790545596741,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Ensemble Pyjama Long En Coton - 2 Pièces,195.0,0.0,,En stock,Non,4.2,,1,0,5.278114659230517,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Jean Regular Brodé,205.0,0.0,,En stock,Non,4.2,,1,0,5.327876168789581,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Débardeur D'Allaitement,140.0,0.0,,En stock,Non,4.2,,1,0,4.948759890378168,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Pull Col Rond En Rib Uni,180.0,0.0,,En stock,Non,4.2,,1,0,5.198497031265826,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Produit REF FRV94,145.0,0.0,,En stock,Non,4.2,,1,0,4.983606621708336,mid-range,2.72,1,2,8,0,1,Mid-range
Kiabi,Shopify,Femme,Femme,,Pantalon Large En Maille Ottoman Uni,275.0,0.0,,En stock,Non,4.2,,1,0,5.62040086571715,mid-range,2.72,1,2,8,0,1,Mid-range
