shop,categorie,produit,prix,ancien_prix,remise_pct,stock,en_promo,rating
Lasolda,Maison,Grille-pain toaster longue ...,499.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Appareil A Raclette Et Plan...,699.00,999.00,30,En stock,Oui,N/A
Lasolda,Maison,Appareil à Pancakes ou Crêp...,349.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Aspirateur à Main Sans Fil...,829.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Aspirateur Balai Rechargeab...,469.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Batteur Mélangeur Électriqu...,389.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Centrifugeuses Manuel Extra...,99.00,199.00,50,En stock,Oui,N/A
Lasolda,Maison,Friteuse Air Chaud Sans Hu...,1.199,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Centrale Vapeur Semelle en ...,699.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Blender En Verre Professionnel,349.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Four Electrique 50L Double ...,1.149,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Friteuse Electrique En Inox...,589.00,700.00,16,En stock,Oui,N/A
Lasolda,Maison,Plaque A Grillade 2 en 1,459.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Mixeur Plongeant En Acier I...,299.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Plaque De Cuisson Encastrab...,1.869,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Mini Climatiseur Portable 2...,249.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Chauffage A Gaz,1.399,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Bouilloire Electrique En In...,229.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Bouilloire Electrique INOX ...,219.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,"Fontaine à Chocolat, 320w ,...",899.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Hachoir A Viande Profession...,599.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Mixeur Plongeant Multifonct...,299.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Plancha A Grill Électrique ...,579.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Plaque à Grillade Electriqu...,559.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Plaque à Grillades Electriq...,599.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,"2 Bouteilles A Eau , Gourde...",99.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,4en1 Mixeur Plongeant + Fou...,269.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,"Appareil A Beignet , Donuts",119.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Appareil à emballage sous vide,329.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Appareil A Raclette Plus Pl...,899.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Appareil multi-cuisson Gril...,2.599,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Appareil sandwich multifonc...,499.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Aspirateur 70L puissant 2400W,2.649,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Aspirateur avec Sac 3L RAF ...,999.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Aspirateur Électrique 2000W...,999.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Aspirateur multifonctionnel...,1.499,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Aspirateurs En Plastique 12...,599.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Balai Vapeur Multifonctions,1.399,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,"Barbecue , Grille , Electri...",499.00,700.00,29,En stock,Oui,N/A
Lasolda,Maison,Barbecue Electrique inox +...,349.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Barbecue Vertical rôtissoir...,899.00,N/A,N/A,En stock,Oui,N/A
Lasolda,Maison,Batteur Chrome Électrique,169.00,189.00,11,En stock,Oui,N/A
Lasolda,Maison,Batteur Easy Max Moulinex,369.00,399.00,8,En stock,Oui,N/A
Lasolda,Maison,Batteur Electrique A 5 Vite...,249.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Batteur Électrique A Main S...,209.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Batteur Mécanique Manuel,79.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Batteur Mélangeur Electriqu...,249.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Blender Bol en verre 1.5L ...,299.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Blender 1.5L Avec Moulin,269.00,389.00,31,En stock,Oui,N/A
Lasolda,Maison,Blender 2L Bol En Plastique...,249.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Blender 6 en 1 Lexical – Mi...,599.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Blender avec 2 bol en verre,379.00,399.00,5,En stock,Oui,N/A
Lasolda,Maison,Blender Broyeur Glace Pilée...,339.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Blender Incassable 1.5L Ave...,329.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Blender Incassable 1.5L Vert,259.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Blender Incassable Avec Moulin,399.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Blender Mixeur 1.5L à 4 Vit...,259.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Blender Mixeur En Plastique...,299.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Blender Professionnel Bol E...,379.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Blender universel verre/ino...,749.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Bouilloire à eau inox siffl...,169.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Bouilloire De Voyage –...,249.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Bouilloire électrique 1.7L ...,199.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,"Bouteille , Bonbonne, Gourd...",59.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,bouteille-huile-1000-ml,149.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Brasero Grill 2 en 1 Barbec...,2.799,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Cafetière A Expresso Et Cap...,469.00,679.00,31,En stock,Oui,N/A
Lasolda,Maison,Cafetière inox gold avec co...,179.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Casserole Bain Marie En Ino...,299.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Chauffage à Gaz Et Electriq...,1.349,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Chauffage Bain D’huil...,945.00,1.400,N/A,En stock,Oui,N/A
Lasolda,Maison,Chauffage Cheminé Électriqu...,799.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Chauffage Cheminé Électriqu...,1.259,1.359,7,En stock,Oui,N/A
Lasolda,Maison,Chauffage Electrique Quart...,299.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Chauffage Electrique Quart...,259.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Chauffage Électrique 800W,269.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Chauffage Electrique Halogè...,369.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Chauffage Electrique Halogè...,499.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Chauffage Electrique Halogè...,449.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Chauffage Électrique Halogè...,399.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Chauffage Électrique Infrar...,579.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Chauffage Électrique Infrar...,399.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Chauffage Halogène Electriq...,269.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Chauffage Radiateur 1500 W ...,769.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Chauffage Radiateur à Huile...,1.099,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Chauffage Radiateur Bain D&...,999.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Cocotte Couscoussier 4+6L –...,1.499,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Cocotte Inox – Autocuiseur ...,499.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Couscoussière en inox 6L ou...,430.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Crêpière Antiadhésive élect...,249.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Crêpière électrique 8 Personne,299.00,379.00,21,En stock,Oui,N/A
Lasolda,Maison,Cuiseur à Vapeur,599.00,799.00,25,En stock,Oui,N/A
Lasolda,Maison,"Cuiseur Vapeur 3 Étages, Id...",669.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Cuisinière double gaz – Brû...,349.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Défroisseur A Vapeur –...,299.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Défroisseur vapeur 2en1 séc...,1.099,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Défroisseur Vapeur Vertical,369.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Défroisseur Vapeur Vertical...,429.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Ensemble Épices 12 Pièces V...,279.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Fer A Repasser,269.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Fer à Repasser 1000W,198.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Fer à Repasser 1200W Anti-a...,199.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,"Fer à repasser à vapeur, 2200W",249.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Fer A Repasser En Céramique,259.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Fer à Repasser Vapeur DB 6005,289.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Filtre à eau TATCH 7 étapes...,1.499,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,"Fontaine A Chocolat , Machi...",859.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Fouet électrique Pour fair...,29.00,59.00,51,En stock,Oui,N/A
Lasolda,Maison,Four électrique 38 Litres,799.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Four Electrique 42L Avec Ve...,899.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Four Electrique 70L Avec Ve...,1.099,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Four Friteuse Air Chaud 12L...,1.949,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Four Micro Onde 20L 700w Ve...,859.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Four rond électrique multif...,899.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Friteuse Air Chaud 4.8L – R...,999.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,"Friteuse Electrique 2,5 lit...",629.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Friteuse Sans Huile 10L – A...,899.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Glacière Electrique 25L Bo...,969.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,"Grand Blender Mixeur 1,8 L ...",449.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Grand Hachoir A Viande Prof...,959.00,N/A,N/A,En stock,Non,N/A
