shop,platform,categorie,sous_categorie,marque,produit,prix,ancien_prix,remise_pct,stock,en_promo,rating,url_produit,stock_bin,promo_bin,prix_score,remise_norm,score_popularite,top_k,log_prix,segment_prix,shop_id,categorie_id,platform_id,cluster,cluster_nom,pca1,pca2,dbscan_label
Kiabi,Shopify,Femme,Femme,,Pull D'Allaitement En Maille Douce,275.0,0.0,,En stock,Non,0.0,,1,0,0.2803,0.0,0.3701,0,5.62040086571715,mid-range,2,8,0,2,Mid-range,-0.6019171345790706,-1.3438947656871791,0
Kiabi,Shopify,Femme,Femme,,Sac Forme Seau En Tissu,220.0,0.0,,En stock,Non,0.0,,1,0,0.358,0.0,0.3895,0,5.3981627015177525,mid-range,2,8,0,2,Mid-range,-0.6431713033674268,-1.120739147367556,0
Kiabi,Shopify,Femme,Femme,,Sac Cabas En Toile,295.0,0.0,,En stock,Non,0.0,,1,0,0.2206,0.0,0.3551,0,5.69035945432406,mid-range,2,8,0,2,Mid-range,-0.6161212920007695,-1.448142017284866,0
Kiabi,Shopify,Femme,Femme,,Pull Effet 2-En-1 Pull + Chemise,275.0,0.0,,En stock,Non,0.0,,1,0,0.2803,0.0,0.3701,0,5.62040086571715,mid-range,2,8,0,2,Mid-range,-0.6019171345790706,-1.3438947656871791,0
Kiabi,Shopify,Femme,Femme,,Pantalon En Lin Avec 2 Poches,275.0,0.0,,En stock,Non,0.0,,1,0,0.2803,0.0,0.3701,0,5.62040086571715,mid-range,2,8,0,2,Mid-range,-0.6019171345790706,-1.3438947656871791,0
Kiabi,Shopify,Femme,Femme,,Trench Court En Coton,415.0,0.0,,En stock,Non,0.0,,1,0,0.094,0.0,0.3235,0,6.030685260261263,mid-range,2,8,0,2,Mid-range,-0.5587303185253093,-1.7971050615781754,0
Kiabi,Shopify,Femme,Femme,,Pyjama Long En Maille Douce Stretch - 2 Pièces,275.0,0.0,,En stock,Non,0.0,,1,0,0.2803,0.0,0.3701,0,5.62040086571715,mid-range,2,8,0,2,Mid-range,-0.6019171345790706,-1.3438947656871791,0
Kiabi,Shopify,Femme,Femme,,Pantalon Flare Maille Ultra-Stretch,165.0,0.0,,En stock,Non,0.0,,1,0,0.481,0.0,0.4202,0,5.111987788356544,mid-range,2,8,0,2,Mid-range,-0.6788090277057406,-0.8115190562999681,0
Kiabi,Shopify,Femme,Femme,,Produit REF FRV99,220.0,0.0,,En stock,Non,0.0,,1,0,0.358,0.0,0.3895,0,5.3981627015177525,mid-range,2,8,0,2,Mid-range,-0.6431713033674268,-1.120739147367556,0
Kiabi,Shopify,Femme,Femme,,Ceinture Tressée Avec Boucle En Bois,145.0,0.0,,En stock,Non,0.0,,1,0,0.519,0.0,0.4298,0,4.983606621708336,mid-range,2,8,0,4,Low-cost,-0.7075535076494914,-0.6887512812940578,0
Kiabi,Shopify,Femme,Femme,,Pull Rayé Col Rond En Matière Douce,235.0,0.0,,En stock,Non,0.0,,1,0,0.3382,0.0,0.3846,0,5.4638318050256105,mid-range,2,8,0,2,Mid-range,-0.6284357368147298,-1.183496535540903,0
Kiabi,Shopify,Femme,Femme,,Robe Milano À La Coupe Évasée À Manches Courtes,135.0,0.0,,En stock,Non,0.0,,1,0,0.5678,0.0,0.4419,0,4.912654885736052,mid-range,2,8,0,4,Low-cost,-0.7026655606923317,-0.5949254950119933,0
Kiabi,Shopify,Femme,Femme,,Pantalon Confort En Maille Côtelée,275.0,0.0,,En stock,Non,0.0,,1,0,0.2803,0.0,0.3701,0,5.62040086571715,mid-range,2,8,0,2,Mid-range,-0.6019171345790706,-1.3438947656871791,0
Kiabi,Shopify,Femme,Femme,,Fermeture Par Bijou Doré Au Col,205.0,0.0,,En stock,Non,0.0,,1,0,0.4051,0.0,0.4013,0,5.327876168789581,mid-range,2,8,0,2,Mid-range,-0.6388995837572243,-1.0285062628158688,0
