shop,platform,categorie,sous_categorie,marque,produit,prix,ancien_prix,remise_pct,stock,en_promo,rating,url_produit,stock_bin,promo_bin,prix_score,remise_norm,score_popularite,top_k,log_prix,segment_prix,shop_id,categorie_id,platform_id,cluster,cluster_nom,pca1,pca2,dbscan_label
Lhmiza,WooCommerce,Parfums,Parfums,,Dorall Collection ALWAYS ON MY MIND Pour FEMME EAU DE TOILETTE 100ml,200.0,69.0,66.0,En stock,Oui,0.0,,1,1,0.967,0.66,0.9238,1,5.303304908059076,mid-range,4,16,1,1,Premium,3.933994141781353,2.006405394725117,2
Lasolda,WooCommerce,Beauté & Sport,Beauté & Sport,,Mascara volume lash Waterp...,49.0,149.0,67.0,En stock,Oui,0.0,,1,1,0.9542,0.67,0.9226,1,3.912023005428146,low-cost,3,2,1,4,Low-cost,2.6070497129176564,2.9644094624334896,3
Lasolda,WooCommerce,Beauté & Sport,Beauté & Sport,,Éponge en silicone Multifon...,29.0,70.0,59.0,En stock,Oui,0.0,,1,1,0.9924,0.59,0.9161,1,3.4011973816621555,low-cost,3,2,1,4,Low-cost,2.2989465227778734,3.1109345679897498,3
Lasolda,WooCommerce,Beauté & Sport,Beauté & Sport,,Support Bague Pour Vernis,29.0,69.0,58.0,En stock,Oui,0.0,,1,1,0.9924,0.58,0.9141,1,3.4011973816621555,low-cost,3,2,1,4,Low-cost,2.2856984441769783,3.0819037779090737,3
Lhmiza,WooCommerce,Parfums,Parfums,,Sandora Collection Club 747 Pour Femme EAU DE PARFUM 100ml,200.0,79.0,61.0,En stock,Oui,0.0,,1,1,0.967,0.61,0.9138,1,5.303304908059076,mid-range,4,16,1,1,Premium,3.86775374877688,1.8612514443217365,2
Lhmiza,WooCommerce,Parfums,Parfums,,Sandora Collection True Blue Pour Femme EAU DE PARFUM 100ml,200.0,79.0,61.0,En stock,Oui,0.0,,1,1,0.967,0.61,0.9138,1,5.303304908059076,mid-range,4,16,1,1,Premium,3.86775374877688,1.8612514443217365,2
Lhmiza,WooCommerce,Parfums,Parfums,,Sandora Collection Beyond Heat Pour Femme Eau de Parfum 100ml,200.0,79.0,61.0,En stock,Oui,0.0,,1,1,0.967,0.61,0.9138,1,5.303304908059076,mid-range,4,16,1,1,Premium,3.86775374877688,1.8612514443217365,2
Lhmiza,WooCommerce,Parfums,Parfums,,Sandora Collection Fancy Pour Femme Eau de Parfum 100ml,200.0,79.0,61.0,En stock,Oui,0.0,,1,1,0.967,0.61,0.9138,1,5.303304908059076,mid-range,4,16,1,1,Premium,3.86775374877688,1.8612514443217365,2
Lhmiza,WooCommerce,Parfums,Parfums,,Sandora Collection Mistress Pour Femme Eau de Parfum 100ml,200.0,79.0,61.0,En stock,Oui,0.0,,1,1,0.967,0.61,0.9138,1,5.303304908059076,mid-range,4,16,1,1,Premium,3.86775374877688,1.8612514443217365,2
Lhmiza,WooCommerce,Parfums,Parfums,,Sandora Collection Catwalk Pour Femme Eau de Parfum 100ml,200.0,79.0,61.0,En stock,Oui,0.0,,1,1,0.967,0.61,0.9138,1,5.303304908059076,mid-range,4,16,1,1,Premium,3.86775374877688,1.8612514443217365,2
